uf,cep,cnpj,pais,email,porte,bairro,numero,ddd_fax,municipio,logradouro,cnae_fiscal,codigo_pais,complemento,codigo_porte,razao_social,nome_fantasia,capital_social,ddd_telefone_1,ddd_telefone_2,opcao_pelo_mei,descricao_porte,codigo_municipio,natureza_juridica,situacao_especial,opcao_pelo_simples,situacao_cadastral,data_opcao_pelo_mei,data_exclusao_do_mei,cnae_fiscal_descricao,codigo_municipio_ibge,data_inicio_atividade,data_situacao_especial,data_opcao_pelo_simples,data_situacao_cadastral,nome_cidade_no_exterior,codigo_natureza_juridica,data_exclusao_do_simples,motivo_situacao_cadastral,ente_federativo_responsavel,identificador_matriz_filial,qualificacao_do_responsavel,descricao_situacao_cadastral,descricao_tipo_de_logradouro,descricao_motivo_situacao_cadastral,descricao_identificador_matriz_filial
MG,35020070,25772120000138,,,DEMAIS,CENTRO,2482,3332431040,GOVERNADOR VALADARES,BRASIL,4651601,,,5,COMERCIAL GV MAQUINAS E EQUIPAMENTOS LTDA,COMERCIAL GV,1000000,3388569994,,False,,4553,Sociedade Empresária Limitada,,False,2,,,Comércio atacadista de equipamentos de informática,3127701,1989-04-24,,2007-07-01,2005-11-03,,2062,2021-12-31,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,35160291,13426763000140,,,DEMAIS,INDUSTRIAL,4650,3132358721,IPATINGA,PEDRO LINHARES GOMES,4511101,,,5,RIO DOCE COMERCIO DE VEICULOS LTDA,LEVA,3000000,3138014900,,,,4625,Sociedade Empresária Limitada,,,2,,,"Comércio a varejo de automóveis, camionetas e utilitários novos",3131307,2011-03-28,,,2011-03-28,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,25286775000104,,,MICRO EMPRESA,PIEDADE,1300,,CAPELINHA,TANCREDO NEVES,4520005,,,1,CLEITON DE JESUS SOUZA FERNANDES,LAVAJATO & MOTO PECAS CAPELINHA,50000,3391238860,,False,,4245,Empresário (Individual),,True,2,2020-01-01,2022-09-30,"Serviços de lavagem, lubrificação e polimento de veículos automotores",3112307,2016-07-26,,2016-07-26,2016-07-26,,2135,,0,,1,50,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,10540802000148,,,MICRO EMPRESA,PLANALTO,758,3335162085,CAPELINHA,DOUTOR HERMELINDO,3299003,,,1,FABRICA DE PLACAS PARA VEICULOS CAPELINHA LTDA,PLACAP,30000,3335161787,,False,,4245,Sociedade Empresária Limitada,,True,2,,,"Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos",3112307,2008-12-17,,2010-01-01,2008-12-17,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,10204610000160,,,MICRO EMPRESA,CENTRO,92,,CAPELINHA,VITALINA FERNANDES,4924800,,LETRA: A;,1,PAULO RICARDO FERNANDES,,50000,3335164425,,False,,4245,Empresário (Individual),,True,2,,,Transporte escolar,3112307,2008-06-09,,2022-01-01,2008-06-09,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,20569836000119,,,DEMAIS,,520,,CAPELINHA,LOC ANEL RODOVIARIO,6010100,,,5,SISTEMA CAPELINHENSE DE RADIODIFUSAO LTDA,ARANAS FM,40000,3335161214,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Atividades de rádio,3112307,1988-11-22,,2020-01-01,2001-02-25,,2062,,0,,1,49,ATIVA,,SEM MOTIVO,MATRIZ
MG,39680000,00000000039640,,,DEMAIS,CENTRO,21,,CAPELINHA,DO POVO,6422100,,,5,BANCO DO BRASIL SA,CAPELINHA (MG),120000000000,3335166152,,False,,4245,Sociedade de Economia Mista,,False,2,2009-07-01,2009-07-01,"Bancos múltiplos, com carteira comercial",3112307,1966-08-01,,2007-07-01,2005-11-03,,2038,2007-07-01,0,,2,10,ATIVA,PRACA,SEM MOTIVO,FILIAL
DF,70070946,29979036000140,,,DEMAIS,ASA SUL,6,6133134351,BRASILIA,SAUS QUADRA 02 BLOCO O,8430200,,ANDAR,5,INSTITUTO NACIONAL DO SEGURO SOCIAL,COORDENACAO GERAL DE ORCAMENTO FINANCAS E CONTABILIDADE,0,6133134509,,,,9701,Autarquia Federal,,,2,,,Seguridade social obrigatória,5300108,1978-04-13,,,2005-11-03,,1104,,0,UNIÃO,1,16,ATIVA,SETOR,SEM MOTIVO,MATRIZ
MG,39803171,09104426000160,,,DEMAIS,DOUTOR LAERTE LAENDER,125,3132501694,TEOFILO OTONI,JOAQUIM ANANIAS DE TOLEDO,3600601,,,5,COPASA SERVICOS DE SANEAMENTO INTEGRADO DO NORTE E NORDESTE DE MINAS GERAIS S/A - COPANOR,COPANOR,385665060,3132501661,3132501763,,,5371,Sociedade Anônima Fechada,,,2,,,"Captação, tratamento e distribuição de água",3168606,2007-09-10,,,2007-09-10,,2054,,0,,1,16,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,31630901,18715615000160,,,DEMAIS,SERRA VERDE,4001,,BELO HORIZONTE,JOAO PAULO II,8411600,,EDIF GERAIS ANDAR 7 SETOR GAB SEF,5,ESTADO DE MINAS GERAIS,ESTADO DE MINAS GERAIS,0,3139156102,,,,4123,Estado ou Distrito Federal,,,2,,,Administração pública em geral,3106200,1974-12-31,,,2018-10-09,,1236,,0,MINAS GERAIS,1,5,ATIVA,RODOVIA,SEM MOTIVO,MATRIZ
MG,39680000,14323476000178,,,EMPRESA DE PEQUENO PORTE,CENTRO,60,3335164216,CAPELINHA,JUAREZ BARBOSA,4761003,,LOJA A,3,ARANAS PAPELARIA LTDA,,100000,3335163171,3391024029,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista de artigos de papelaria,3112307,2011-09-20,,2011-09-20,2011-09-20,,2062,,0,,1,49,ATIVA,ALAMEDA,SEM MOTIVO,MATRIZ
MG,39670000,35278487000153,,,MICRO EMPRESA,PRIMEIRO DE MAIO,186,,ITAMARANDIBA,ANGELICA,7112000,,ANDAR SEGUNDO SALA 103,1,ADALTO FERREIRA PIRES LTDA,ESTRUTURAL ENGENHARIA E CONSTRUTORA,200000,3835212488,,False,,4649,Sociedade Empresária Limitada,,True,2,,,Serviços de engenharia,3132503,2019-10-23,,2019-10-23,2019-10-23,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39775000,41944789000116,,,EMPRESA DE PEQUENO PORTE,CENTRO,660,,JOSE RAYDAN,JOSE PEIXOTO,4645101,,,3,DG INDUSTRIA E DISTRIBUICAO LIMITADA,DG INDUSTRIA E DISTRIBUICAO,200000,1937024054,,,,636,Sociedade Empresária Limitada,,,2,,,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",3136553,2021-05-14,,,2021-05-14,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,40766429000109,,,MICRO EMPRESA,CENTRO,161A,,CAPELINHA,CAPITAO DOMINGOS PIMENTA,6204000,,,1,G3 SISTEMAS & TECNOLOGIA LTDA,G3 TECNOLOGIA E SERVICOS,100000,3335163998,3192749722,False,,4245,Sociedade Empresária Limitada,,True,2,2021-02-08,2021-02-08,Consultoria em tecnologia da informação,3112307,2021-02-08,,2021-02-08,2021-02-08,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
SC,88523010,40738368000176,,,MICRO EMPRESA,CORAL,174,,LAGES,QUINZE DE NOVEMBRO,4623109,,APT 41,1,GAMBA CONEXOES COMERCIO ATACADISTA DE ALIMENTOS LTDA,C & G CONEXOES,20000,4984131984,,False,,8183,Sociedade Empresária Limitada,,False,2,,,Comércio atacadista de alimentos para animais,4209300,2021-02-05,,2021-02-05,2021-02-05,,2062,2022-08-31,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,32113505,41576936000142,,,MICRO EMPRESA,ARVOREDO 2A SECAO,309,,CONTAGEM,GUANABARA,4729699,,,1,KAMILLA RAFAELLE RODRIGUES PIMENTEL 12165375690,SERRANA LICITACOES,50000,3733005993,,False,,4371,Empresário (Individual),,True,2,2021-04-14,2021-11-30,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,3118601,2021-04-14,,2021-04-14,2021-04-14,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
ES,29168060,27088431000108,,,DEMAIS,CIVIT II,1436,,SERRA,ELDES SCHERRER SOUZA,4530705,,SALA 02,5,FILIPE AUGUSTO DRUMOND SOARES,RIPEL COMERCIAL,94505,2799832864,,False,,5699,Empresário (Individual),,False,2,,,Comércio a varejo de pneumáticos e câmaras-de-ar,3205002,2017-02-03,,2017-02-03,2017-02-03,,2135,2020-12-31,0,,1,50,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,29107696000131,,,MICRO EMPRESA,ZONA RURAL,SN,,CAPELINHA,CAMARINHAS,4924800,,,1,JHONE JACIEL LEITE GOMES 14431334696,JHONE TRANSPORTES,15000,3335163897,,False,,4245,Empresário (Individual),,True,2,2017-11-21,2022-09-30,Transporte escolar,3112307,2017-11-21,,2017-11-21,2017-11-21,,2135,,0,,1,50,ATIVA,CORREGO,SEM MOTIVO,MATRIZ
MG,35670000,24501724000187,,,MICRO EMPRESA,CENTRO,63,,MATEUS LEME,PEREIRA GUIMARAES,4761003,, LOJA,1,MAC COPIADORA E COMERCIO DE EQUIPAMENTOS ELETRONICOS LTDA,MAC COPIADORA,50000,3172438821,,False,,4813,Sociedade Empresária Limitada,,False,2,2016-04-01,2017-04-30,Comércio varejista de artigos de papelaria,3140704,2016-04-01,,2016-04-01,2016-04-01,,2062,2022-08-31,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,29397041000145,,,EMPRESA DE PEQUENO PORTE,PLANALTO,462,,CAPELINHA,MANOEL DE SOUZA,4742300,,,3,IMV ENGENHARIA E COMERCIO DE MATERIAL ELETRICO LTDA,FAMMA LOJA ELETRICA,95000,3391999051,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista de material elétrico,3112307,2018-01-10,,2018-01-10,2018-01-10,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,36503433000107,,,MICRO EMPRESA,JARDIM AEROPORTO,35,,CAPELINHA,SUICA,3811400,,,1,REAL CAP LTDA,REAL CAP,100000,3391527874,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Coleta de resíduos não-perigosos,3112307,2020-02-28,,2020-02-28,2020-02-28,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,27346492000128,,,EMPRESA DE PEQUENO PORTE,PLANALTO,1179,3335161569,CAPELINHA,RIO BRANCO,4744099,,,3,MAIS REAL MATERIAIS DE CONSTRUCAO LTDA,MAIS REAL MATERIAIS DE CONSTRUCAO,300000,3335163447,3335163897,False,,4245,Sociedade Empresária Limitada,,False,2,,,Comércio varejista de materiais de construção em geral,3112307,2017-03-21,,2017-03-21,2017-03-21,,2062,2020-12-31,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,01425002000195,,,EMPRESA DE PEQUENO PORTE,PLANALTO,825,3335161214,CAPELINHA,RIO BRANCO,4742300,,,3,CENTRO ELETRICO MATERIAIS ELETRICOS E CONSTRUCAO LTDA,CENTRO ELETRICO,45000,3335161214,3335161214,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista de material elétrico,3112307,1996-09-13,,2007-07-01,2005-05-07,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,30130160,23840622000123,,,DEMAIS,FUNCIONARIOS,730,,BELO HORIZONTE,ALAGOAS,9430800,,ANDAR: 00; LOJA: 00018;,5,UNIAO NACIONAL DOS DIRIGENTES MUNICIPAIS DE EDUCACAO - SECAO MINAS GERAIS - UNDIME/MG,UNDIME,0,3133421748,,,,4123,Associação Privada,,,2,,,Atividades de associações de defesa de direitos sociais,3106200,1987-11-16,,,2005-09-24,,3999,,0,,1,16,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,01260820000185,,,MICRO EMPRESA,CENTRO,111,,CAPELINHA,DR HERMELINDO,4751201,,SALA C- 2 ANDAR,1,F.F EMPREENDIMENTOS LTDA,INFORCENTER,5000,,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista especializado de equipamentos e suprimentos de informática,3112307,1996-06-20,,2007-07-01,2005-07-16,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,30380103,20513859000101,,,DEMAIS,CIDADE JARDIM,385,3121252403,BELO HORIZONTE,RAJA GABAGLIA,9499500,,,5,ASSOCIACAO MINEIRA DE MUNICIPIOS - AMM,A M M,0,3121252424,3121252400,,,4123,Associação Privada,,,2,,,Atividades associativas não especificadas anteriormente,3106200,1978-11-30,,,2005-09-24,,3999,,0,,1,16,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39600000,16615921000107,,,MICRO EMPRESA,ALTO MERCADO,144,,ARACUAI,FREI ROGATO,4754701,,LOJA: 2;,1,DILCEA MOREIRA DRUMMOND,COMERCIAL SANTOS MOREIRA,50000,3399883064,3337311559,False,,4067,Empresário (Individual),,True,2,,,Comércio varejista de móveis,3103405,2012-08-01,,2012-08-01,2012-08-01,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,23558047000170,,,MICRO EMPRESA,JARDIM AEROPORTO,160,,CAPELINHA,BRASIL,4929902,,LETRA A,1,CAPTUR TRANSPORTES LTDA,,120000,3335161798,3335162601,False,,4245,Sociedade Empresária Limitada,,True,2,,,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",3112307,2015-10-28,,2020-01-01,2015-10-28,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,22668735000120,,,DEMAIS,ANEL RODOVIARIO,S/N,,CAPELINHA,BR 120 KM 49,4731800,,,5,J.W.D. COMERCIAL LTDA.,POSTO CHAPADAO,1210000,,,,,4245,Sociedade Empresária Limitada,,,2,,,Comércio varejista de combustíveis para veículos automotores,3112307,1987-02-24,,,2005-09-24,,2062,,0,,1,49,ATIVA,RODOVIA,SEM MOTIVO,MATRIZ
MG,39680000,12668953000101,,,MICRO EMPRESA,MARIA LUCIA,109,3335162601,CAPELINHA,CARLOS PRATES,4722901,,,1,CASA DE CARNES BIG BOI LTDA,CASA DE CARNES BIG BOI,50000,3335161649,,False,,4245,Sociedade Empresária Limitada,,True,2,2022-01-01,2022-01-01,Comércio varejista de carnes - açougues,3112307,2010-10-14,,2010-10-14,2010-10-14,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39705000,24681156000143,,,MICRO EMPRESA,ENGENHO DE SERRA,82,,SAO JOAO EVANGELISTA,JOSE CELESTINO RIBEIRO,4120400,,ANEXO I,1,ALEXSSANDRO RODRIGUES BIET,CONSTRUSERV,80000,3391483302,,False,,5255,Empresário (Individual),,True,2,2016-04-28,2021-02-28,Construção de edifícios,3162807,2016-04-28,,2016-04-28,2016-04-28,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39740000,21257062000153,,,MICRO EMPRESA,COLINA VERDE II,311,,GUANHAES,HERMOGENES CORREA AGUIAR,7112000,,,1,VE AMBIENTAL E ENGENHARIA LTDA,,200000,3192222827,,,,4559,Sociedade Empresária Limitada,,,2,,,Serviços de engenharia,3128006,2014-10-20,,,2014-10-20,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,37554200,31022161000100,,,EMPRESA DE PEQUENO PORTE,FATIMA I,190,,POUSO ALEGRE,PORFIRIO RIBEIRO DE ANDRADE,4511101,,SALA 01,3,SMART MG COMERCIO & REPRESENTACAO LTDA,SMART VEICULOS,51000,3584265141,,,,5049,Sociedade Empresária Limitada,,,2,,,"Comércio a varejo de automóveis, camionetas e utilitários novos",3152501,2018-07-25,,,2018-07-25,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39800224,19588391000135,,,DEMAIS,JOAQUIM PEDROSA,240,3335221482,TEOFILO OTONI,SIDONIO OTONI,4511101,, .,5,DINAUTO LTDA,DINAUTO,8414000,3335291900,,,,5371,Sociedade Empresária Limitada,,,2,,,"Comércio a varejo de automóveis, camionetas e utilitários novos",3168606,1977-09-28,,,2005-09-24,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,38684007000142,,,DEMAIS,PLANALTO,1200,,CAPELINHA,RIO BRANCO,4731800,,,5,AUTO POSTO NEVES LTDA,POSTO TREVO,300000,3335161526,,,,4245,Sociedade Empresária Limitada,,,2,,,Comércio varejista de combustíveis para veículos automotores,3112307,1990-07-10,,,2005-09-24,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,12967297000148,,,EMPRESA DE PEQUENO PORTE,PLANALTO,315,3335164216,CAPELINHA,JOSE PRISCO,4784900,,,3,RODRIGUES DISTRIBUIDORA DE GAS LTDA,DISTRIBUIDORA RODRIGAS,50000,3335161462,,,,4245,Sociedade Empresária Limitada,,,2,,,Comércio varejista de gás liqüefeito de petróleo (GLP),3112307,2010-12-03,,,2010-12-03,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,07198669000189,,,EMPRESA DE PEQUENO PORTE,CENTRO,240,,CAPELINHA,TAMBORIL,4120400,,A,3,CONSTRUTORA CIVIL FN LOURO LTDA,PROJETAR,412890,3335162015,,False,,4245,Sociedade Empresária Limitada,,False,2,,,Construção de edifícios,3112307,2005-01-28,,2008-01-01,2005-01-28,,2062,2016-05-31,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,35051200,45244152000178,,,MICRO EMPRESA,KENNEDY,141,,GOVERNADOR VALADARES,ESPERANCA,8020001,,,1,TECKSAT RASTREAMENTO & TELEMETRIA LTDA,TECKSAT RASTREAMENTO & TELEMETRIA,25000,3399051369,,False,,4553,Sociedade Empresária Limitada,,True,2,,,Atividades de monitoramento de sistemas de segurança eletrônico,3127701,2022-02-10,,2022-02-10,2022-02-10,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,26039119000161,,,MICRO EMPRESA,JARDIM AEROPORTO,160,,CAPELINHA,BRASIL,4930202,,LETRA C,1,TRANSPORTADORA SANTOS FILHO LTDA,BATATA TRANSPORTES,120000,3399137323,,False,,4245,Sociedade Empresária Limitada,,True,2,,,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3112307,2016-08-26,,2016-08-26,2016-08-26,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,12599939000101,,,MICRO EMPRESA,"RESIDENCIAL GRAJAU, BAIRRO DAS NACOES",179,,CAPELINHA,LIMA,2212900,,,1,BRG PNEUS LTDA,BRG PNEUS,30000,3391434772,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Reforma de pneumáticos usados,3112307,2010-09-29,,2010-09-29,2010-09-29,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39401089,01440615000100,,,DEMAIS,VILA MAURICEIA,SN,3836903901,MONTES CLAROS,RUI BRAGA,8550302,,: PREDIO 07;,5,FUNDACAO DE APOIO AO DESENVOLVIMENTO DE ENSINO SUPERIOR DO NORTE DE MINAS,FADENOR,0,3836903900,3836903922,,,4865,Fundação Privada,,,2,,,"Atividades de apoio à educação, exceto caixas escolares",3143302,1996-08-15,,,2004-08-28,,3069,,0,,1,10,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,31515393,07684544000169,,,MICRO EMPRESA,SAO JOAO BATISTA,813,3134951812,BELO HORIZONTE,JOAO SAMAHA,4755502,,LOJA 03,1,UTILIDOL UTILIDADES DO LAR LTDA,UTILIDOL UTLIDADES DO LAR,100000,3130375925,3183995356,False,,4123,Sociedade Empresária Limitada,,True,2,,,Comercio varejista de artigos de armarinho,3106200,2002-11-22,,2020-01-01,2019-09-11,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,71168967000125,,,EMPRESA DE PEQUENO PORTE,VISTA ALEGRE,1603,,CAPELINHA,TICO NEVES,5229002,,,3,EXEMPLO TRANSPORTES & SOLUCOES LOGISTICAS LTDA,EXEMPLO TRANSPORTES,100000,3335163043,3391041505,False,,4245,Sociedade Empresária Limitada,,True,2,,,Serviços de reboque de veículos,3112307,1993-10-05,,2020-01-01,2005-11-03,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39140000,24361188000161,,,EMPRESA DE PEQUENO PORTE,CENTRO,252,,ALVORADA DE MINAS,PROFESSOR SEBASTIAO CARVALHO,6201501,,,3,DIGITALGOV TECNOLOGIA DA INFORMACAO LTDA,DIGITALGOV,20000,3183618740,,False,,4047,Sociedade Empresária Limitada,,True,2,,,Desenvolvimento de programas de computador sob encomenda,3102407,2016-03-11,,2016-03-11,2016-03-11,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,35900970,30019425000103,,,MICRO EMPRESA,PENHA,330,3138351746,ITABIRA,LUCIA FERREIRA VIEIRA,4639701,,GALPAOGALPAO,1,COMERCIAL CARIACICA MULTIMODAL LTDA,,50000,3138351746,3196623054,False,,4633,Sociedade Empresária Limitada,,False,2,,,Comércio atacadista de produtos alimentícios em geral,3131703,2018-03-23,,2018-03-23,2018-03-23,,2062,2020-12-31,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,35054878,35825654000139,,,EMPRESA DE PEQUENO PORTE,CASTANHEIRAS II,435,,GOVERNADOR VALADARES,CORONEL PEDRO FERREIRA,4649408,,LOJA .,3,DISTRIBUIDORA COMPLETA LTDA,DISTRIBUIDORA COMPLETA,300000,3399909311,,False,,4553,Sociedade Empresária Limitada,,True,2,,,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",3127701,2019-12-19,,2019-12-19,2019-12-19,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,15278423000145,,,MICRO EMPRESA,CENTRO,800,,CAPELINHA,INACIO MURTA,9001906,,,1,LUCIANO FERNANDES DA SILVA LTDA,SHOW LUZ PRODUCOES,80000,3335163357,,False,,4245,Sociedade Empresária Limitada,,True,2,2012-03-28,2014-06-30,Atividades de sonorização e de iluminação,3112307,2012-03-28,,2012-03-28,2012-03-28,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,10888334000105,,,MICRO EMPRESA,CENTRO,50,,CAPELINHA,SAO VICENTE,4751201,,LETRA A,1,JJ CARTUCHOS LTDA,,30000,3335163419,3391980119,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista especializado de equipamentos e suprimentos de informática,3112307,2009-06-09,,2009-06-09,2009-06-09,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,31010220,14938995000140,,,MICRO EMPRESA,SANTA TEREZA,206,,BELO HORIZONTE,MARMORE,7733100,,SALA 8,1,TORKYS SISTEMAS E EQUIPAMENTOS LIMITADA,TORKYS,734670,3130212580,,False,,4123,Sociedade Empresária Limitada,,True,2,,,Aluguel de máquinas e equipamentos para escritórios,3106200,2012-01-25,,2012-01-25,2012-01-25,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39615000,17424788000166,,,MICRO EMPRESA,CENTRO,1935,,PONTO DOS VOLANTES,ANA CABURE,4644301,,,1,MINAS MED DISTRIBUIDORA DE MEDICAMENTOS LTDA,,50000,3391369011,,False,,694,Sociedade Empresária Limitada,,True,2,,,Comércio atacadista de medicamentos e drogas de uso humano,3152170,2013-01-17,,2015-01-01,2013-01-17,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,35574530,26656774000169,,,EMPRESA DE PEQUENO PORTE,PALMEIRAS,574,,FORMIGA,DOUTOR ARNALDO DE SENNA,3102100,,,3,ZIRICO MOVEIS LTDA,ZIRICO MOVEIS,100000,3733220301,,False,,4521,Sociedade Empresária Limitada,,True,2,,,Fabricação de móveis com predominância de metal,3126109,2016-12-05,,2016-12-05,2016-12-05,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,05929466000190,,,EMPRESA DE PEQUENO PORTE,PLANALTO,73,3835212488,CAPELINHA,ROD. BR 120 KM 49,4120400,,LETRA: B;,3,CRJ CONSTRUTORA LTDA,,200000,3835212488,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Construção de edifícios,3112307,2003-10-09,,2014-01-01,,,2062,,0,,1,49,ATIVA,RODOVIA,SEM MOTIVO,MATRIZ
MG,39680000,24834589000191,,,MICRO EMPRESA,CENTRO,1311,3335162457,CAPELINHA,GOVERNADOR VALADARES,4120400,,LETRA A,1,CAMPOS LOCADORA DE VEICULOS LTDA,CONSTRUTORA VDL,300000,3335162457,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Construção de edifícios,3112307,2016-05-19,,2016-05-19,2016-05-19,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,19230077000186,,,EMPRESA DE PEQUENO PORTE,CENTRO,18,,CAPELINHA,SAO VICENTE,1091102,,,3,VALDEIR LEOPOLDO NEVES- PADARIA,PADARIA SAO GERALDO,100000,,,False,,4245,Empresário (Individual),,True,2,,,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,3112307,1971-10-08,,2007-07-01,2004-12-24,,2135,,0,,1,50,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,30170001,17254509000163,,,DEMAIS,SANTO AGOSTINHO,1600,,BELO HORIZONTE,ALVARES CABRAL,9412001,,,5,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DE MINAS GERAIS,CREA MG,0,,,,,4123,Autarquia Federal,,,2,,,Atividades de fiscalização profissional,3106200,1966-09-14,,,2002-03-30,,1104,,0,UNIÃO,1,16,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,30190924,06981180000116,,,DEMAIS,SANTO AGOSTINHO,1200,,BELO HORIZONTE,BARBACENA,3514000,,ANDAR 17 ALA A1,5,CEMIG DISTRIBUICAO S.A,CEMIG D,6284312600,3135067500,,,,4123,Sociedade Anônima Aberta,,,2,,,Distribuição de energia elétrica,3106200,2004-09-15,,,,,2046,,0,,1,16,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39680000,08073528000100,,,EMPRESA DE PEQUENO PORTE,MARIA LUCIA,1550,,CAPELINHA,ANEL RODOVIARIO,4530703,,,3,RODOCAR PECAS & SERVICOS LTDA,RODOCAR,40000,3335161151,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio a varejo de peças e acessórios novos para veículos automotores,3112307,2006-06-06,,2007-07-01,2006-06-06,,2062,,0,,1,49,ATIVA,RODOVIA,SEM MOTIVO,MATRIZ
MG,39680000,04738179000130,,,DEMAIS,APARECIDA,2585,3335161197,CAPELINHA,ANEL RODOVIARIO,1081302,,,5,INDUSTRIA E COMERCIO DE CAFE GEMA DE MINAS LTDA,CAFE GEMA DE MINAS,1500000,3335161197,,False,,4245,Sociedade Empresária Limitada,,False,2,,,Torrefação e moagem de café,3112307,2001-10-10,,2007-07-01,2005-11-03,,2062,2007-07-01,0,,1,49,ATIVA,ANEL VIARIO,SEM MOTIVO,MATRIZ
